step,loss,spectral_loss,spacing_loss,smoothness_loss,prime_loss
0,0.7031027674674988,0.07561015337705612,1.2549852132797241,0.0,0.0
1,0.7030650973320007,0.07560963183641434,1.254910945892334,1.1034016722533124e-07,0.0
2,0.703035295009613,0.07560861855745316,1.254853367805481,4.4055110492990934e-07,0.0
3,0.7030242085456848,0.0756082609295845,1.2548319101333618,9.896155006572371e-07,0.0
4,0.7030077576637268,0.075607068836689,1.2548013925552368,1.7537099665787537e-06,0.0
5,0.7029476761817932,0.07560665905475616,1.2546820640563965,2.7314249564369675e-06,0.0
6,0.7029421329498291,0.07560539245605469,1.2546733617782593,3.916764853784116e-06,0.0
7,0.7028880715370178,0.0756056010723114,1.2545647621154785,5.3066523832967505e-06,0.0
8,0.7028754949569702,0.07560385763645172,1.2545431852340698,6.896621925989166e-06,0.0
9,0.7027735710144043,0.07560423761606216,1.2543385028839111,8.681505278218538e-06,0.0
10,0.702654242515564,0.07560378313064575,1.2541006803512573,1.0655387995939236e-05,0.0
11,0.7026528716087341,0.07560335099697113,1.2540987730026245,1.2816797607229091e-05,0.0
12,0.7025453448295593,0.07560315728187561,1.253883957862854,1.5160690963966772e-05,0.0
13,0.7024454474449158,0.07560297101736069,1.253684639930725,1.76873872987926e-05,0.0
14,0.7024655938148499,0.07560136914253235,1.2537281513214111,2.0396824766066857e-05,0.0
15,0.7023428082466125,0.07560084760189056,1.2534834146499634,2.3279662855202332e-05,0.0
16,0.7021766901016235,0.07560039311647415,1.2531521320343018,2.6339877877035178e-05,0.0
17,0.702127993106842,0.07560078054666519,1.2530537843704224,2.95494119200157e-05,0.0
18,0.7020282745361328,0.07559970021247864,1.2528564929962158,3.2910495065152645e-05,0.0
19,0.7020013332366943,0.0755995437502861,1.252802848815918,3.641849252744578e-05,0.0
20,0.7019248604774475,0.07559719681739807,1.2526545524597168,4.0074890421237797e-05,0.0
21,0.7018135190010071,0.07559730857610703,1.2524316310882568,4.388329398352653e-05,0.0
22,0.7016712427139282,0.07559517025947571,1.2521511316299438,4.7842298954492435e-05,0.0
23,0.701618492603302,0.07559488713741302,1.2520461082458496,5.195954872760922e-05,0.0
24,0.7015491127967834,0.0755930244922638,1.2519111633300781,5.4632539104204625e-05,0.0
25,0.701488196849823,0.07559285312891006,1.2517894506454468,5.743811561842449e-05,0.0
26,0.7013979554176331,0.07559289038181305,1.251608967781067,5.982333095744252e-05,0.0
27,0.701355516910553,0.07559281587600708,1.2515242099761963,6.195559399202466e-05,0.0
28,0.701347291469574,0.075590580701828,1.251512050628662,6.391535134753212e-05,0.0
29,0.7012324333190918,0.07558908313512802,1.251285433769226,6.575218139914796e-05,0.0
30,0.7012167572975159,0.07558971643447876,1.2512527704238892,6.749930616933852e-05,0.0
31,0.7011429071426392,0.07558898627758026,1.2511063814163208,6.918177678016946e-05,0.0
32,0.7010713219642639,0.07558636367321014,1.2509684562683105,7.081888179527596e-05,0.0
33,0.7009677290916443,0.07558803260326385,1.2507579326629639,7.262494182214141e-05,0.0
34,0.7008992433547974,0.07558553665876389,1.2506259679794312,7.438712782459334e-05,0.0
35,0.700822651386261,0.07558532804250717,1.250473141670227,7.631025073351339e-05,0.0
36,0.7007243037223816,0.07558443397283554,1.2502782344818115,7.838189048925415e-05,0.0
37,0.7006392478942871,0.07558348774909973,1.2501099109649658,8.059332321863621e-05,0.0
38,0.7004799246788025,0.07558246701955795,1.249793291091919,8.293545397464186e-05,0.0
39,0.7004732489585876,0.07558184117078781,1.2497811317443848,8.540324051864445e-05,0.0
40,0.7004555463790894,0.0755816176533699,1.2497460842132568,8.799091301625594e-05,0.0
41,0.7003425359725952,0.07557953149080276,1.2495242357254028,9.069207590073347e-05,0.0
42,0.7002606391906738,0.07557759433984756,1.2493641376495361,9.350351319881156e-05,0.0
43,0.7002207636833191,0.07557754218578339,1.2492845058441162,9.642280201660469e-05,0.0
44,0.7001209259033203,0.07557635009288788,1.2490870952606201,9.94456495391205e-05,0.0
45,0.7000781893730164,0.07557692378759384,1.2490005493164062,0.00010257031681248918,0.0
