index,eigenvalue
0,0.0010932020856966379
1,0.001149946214394022
2,0.0011904609574944016
3,0.001225254491478456
4,0.0012566706020201402
5,0.0012857470160411982
6,0.0013130595729261931
7,0.0013389697788805633
8,0.0013637233290755932
9,0.0013874967859113798
10,0.0014104224087874108
11,0.0014326025104067334
12,0.0014541182995477914
13,0.0014750356058771403
14,0.0014954087386538834
15,0.0015152831757885036
16,0.001534697491070193
17,0.001553684768874849
18,0.0015722736643418794
19,0.0015904892123806307
20,0.0016083534548987654
21,0.001625885933943838
22,0.0016431040844664222
23,0.0016600235506111448
24,0.0016766584430750603
25,0.0016930215505015192
26,0.0017091245145856298
27,0.0017249779762289964
28,0.0017405916984718436
29,0.0017559746704900756
30,0.0017711351962178491
31,0.0017860809702163235
32,0.0018008191429907464
33,0.0018153563775514811
34,0.0018296988985214387
35,0.0018438525350640302
36,0.001857822758492116
37,0.0018716147153555905
38,0.0018852332566744446
39,0.0018986829638500795
40,0.0019119681717048905
41,0.0019250929889967272
42,0.0019380613168104564
43,0.001950876865020356
44,0.001963543167116326
45,0.0019760635935403836
46,0.00198844136378091
47,0.002000679557263038
48,0.0020127811233093787
49,0.0020247488901200556
50,0.002036585573022925
51,0.0020482937819761406
52,0.0020598760284128628
53,0.0020713347315498465
54,0.0020826722241615125
55,0.0020938907578853176
56,0.0021049925080929162
57,0.0021159795784207124
58,0.002126854004920339
59,0.0021376177599021183
60,0.002148272755497475
61,0.0021588208469715225
62,0.0021692638357803237
63,0.0021796034724150485
64,0.0021898414590646575
65,0.0021999794520719085
66,0.0022100190642495303
67,0.002219961867006877
68,0.0022298093923703126
69,0.0022395631348652127
70,0.0022492245532539875
71,0.0022587950721926326
72,0.002268276083774713
73,0.0022776689489654176
74,0.0022869749989727238
75,0.0022961955365184603
76,0.002305331837039846
77,0.0023143851498112662
78,0.0023233566990263407
79,0.002332247684773248
80,0.0023410592840030758
81,0.0023497926514082406
82,0.0023584489202664906
83,0.0023670292032378377
84,0.0023755345930991136
85,0.002383966163478424
86,0.0023923249695000804
87,0.0024006120484408033
88,0.0024088284203091313
89,0.002416975088425753
90,0.0024250530399615856
91,0.00243306324643979
92,0.0024410066642267234
93,0.0024488842349793018
94,0.002456696886093354
95,0.002464445531104445
96,0.00247213107007616
97,0.002479754389980502
98,0.002487316365042788
99,0.0024948178570728843
100,0.0025022597157882457
101,0.002509642779117727
102,0.0025169678734698175
103,0.002524235814025494
104,0.0025314474049814278
105,0.0025386034398032133
106,0.0025457047014495393
107,0.0025527519626114595
108,0.0025597459858880726
109,0.0025666875240327376
110,0.0025735773201043923
111,0.0025804161076687327
112,0.002587204610965122
113,0.002593943545072417
114,0.002600633616058555
115,0.0026072755211436686
116,0.0026138699488205347
117,0.0026204175790140553
118,0.002626919083185567
119,0.002633375124480575
120,0.0026397863578221993
121,0.0026461534300405644
122,0.002652476979967078
123,0.002658757638554166
124,0.00266499602894843
125,0.0026711927666090004
126,0.002677348459382439
127,0.0026834637075948704
128,0.002689539104132949
129,0.002695575234524249
130,0.002701572677011833
131,0.0027075320026329563
132,0.002713453775274444
133,0.0027193385518282888
134,0.0027251868818847485
135,0.002730999309157049
136,0.0027367763668080403
137,0.0027425185933992713
138,0.0027482264814320963
139,0.0027539006337151295
140,0.002759541292649944
141,0.0027651495724861355
142,0.0027707238077896764
143,0.002776267019871674
144,0.002781762831306636
145,0.0027872109949061605
146,0.0027925095800744103
147,0.0027976647498397685
148,0.0028026125628971884
149,0.0028078934521057882
150,0.0028134607412060152
151,0.002819521641247314
152,0.002825733484311851
153,0.0028322911831168405
154,0.002838925808888007
155,0.002845851654087585
156,0.0028528310185370687
157,0.00286007809051405
158,0.002867368462232053
159,0.0028749139237537894
160,0.0028824970396154593
161,0.002890327706848651
162,0.0028981924914223724
163,0.0029063001746260047
164,0.0029144396162795053
